,precision,recall,f1-score,support
0,0.875,0.8235294117647058,0.8484848484848485,187.0
1,0.9,0.8940397350993378,0.8970099667774086,151.0
2,0.8636363636363636,0.9405940594059405,0.9004739336492891,101.0
3,0.9387755102040817,0.92,0.9292929292929293,50.0
4,0.7931034482758621,0.8625,0.8263473053892215,160.0
5,0.9830508474576272,0.9789029535864979,0.9809725158562368,237.0
6,0.7352941176470589,0.5434782608695652,0.625,46.0
7,0.7935943060498221,0.7636986301369864,0.7783595113438045,292.0
8,0.6949152542372882,0.6612903225806451,0.6776859504132231,124.0
9,0.9804560260586319,0.9933993399339934,0.9868852459016394,303.0
10,0.9782608695652174,0.9375,0.9574468085106383,48.0
11,0.8227848101265823,0.87248322147651,0.8469055374592834,149.0
12,0.8608247422680413,0.8608247422680413,0.8608247422680413,194.0
13,0.88,0.8655737704918033,0.8727272727272727,305.0
14,0.9358490566037736,0.9612403100775194,0.9483747609942639,258.0
15,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
16,0.8600682593856656,0.84,0.8499156829679595,300.0
17,0.9347826086956522,0.86,0.8958333333333334,50.0
18,0.9054054054054054,0.9370629370629371,0.9209621993127147,286.0
19,0.8888888888888888,0.9198606271777003,0.9041095890410958,287.0
20,0.9342105263157895,0.8352941176470589,0.8819875776397516,85.0
21,0.9203821656050956,0.9665551839464883,0.9429037520391517,299.0
22,0.868421052631579,0.8516129032258064,0.8599348534201955,155.0
23,0.9869494290375204,0.9869494290375204,0.9869494290375204,613.0
24,0.9391891891891891,0.9266666666666666,0.9328859060402684,150.0
25,0.9754601226993865,0.9578313253012049,0.9665653495440729,166.0
26,1.0,1.0,1.0,52.0
accuracy,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9038461538461539
macro avg,0.8973507283944884,0.8866686894230961,0.8910372469670679,5096.0
weighted avg,0.903375343313386,0.9038461538461539,0.9031679156982831,5096.0
