,precision,recall,f1-score,support
0,0.8319870759289176,0.826645264847512,0.8293075684380032,623.0
1,0.9053497942386831,0.8764940239043825,0.8906882591093117,502.0
2,0.8128342245989305,0.9047619047619048,0.856338028169014,336.0
3,0.9053254437869822,0.9216867469879518,0.9134328358208955,166.0
4,0.8099467140319716,0.8539325842696629,0.8313582497721057,534.0
5,0.9847715736040609,0.9810366624525917,0.9829005699810006,791.0
6,0.7894736842105263,0.5882352941176471,0.6741573033707865,153.0
7,0.7916207276736494,0.7371663244353183,0.7634237107921319,974.0
8,0.6598173515981736,0.6980676328502415,0.6784037558685446,414.0
9,0.9756335282651072,0.9920713577799801,0.9837837837837838,1009.0
10,0.9570552147239264,0.968944099378882,0.9629629629629629,161.0
11,0.8052208835341366,0.8052208835341366,0.8052208835341366,498.0
12,0.8745819397993311,0.8070987654320988,0.8394863563402889,648.0
13,0.8799603174603174,0.8738916256157635,0.8769154720711814,1015.0
14,0.8920704845814978,0.9407665505226481,0.9157716223855286,861.0
15,0.9341317365269461,0.968944099378882,0.9512195121951219,161.0
16,0.8349802371541502,0.8458458458458459,0.8403779214321233,999.0
17,0.9426751592356688,0.896969696969697,0.9192546583850931,165.0
18,0.8843873517786561,0.9401260504201681,0.9114052953156823,952.0
19,0.8862144420131292,0.8481675392670157,0.8667736757624398,955.0
20,0.9142857142857143,0.7887323943661971,0.8468809073724007,284.0
21,0.9070208728652751,0.9579158316633266,0.9317738791423001,998.0
22,0.8690228690228691,0.806949806949807,0.8368368368368369,518.0
23,0.9698131288931481,0.9911851126346719,0.9803826592395253,2042.0
24,0.951063829787234,0.8957915831663327,0.9226006191950464,499.0
25,0.9602169981916817,0.9619565217391305,0.9610859728506788,552.0
26,0.9942196531791907,0.9885057471264368,0.9913544668587896,174.0
accuracy,0.8917216203485634,0.8917216203485634,0.8917216203485634,0.8917216203485634
macro avg,0.8860622574433287,0.8765596277932678,0.8801517691476191,16984.0
weighted avg,0.8915140309716727,0.8917216203485634,0.8909786596899145,16984.0
