global_epoch,stage_idx,stage,stage_epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,backbone_lr,head_lr
1,0,stage1_head_only,1,0.868669728631091,0.7352499558381911,0.7063722707471343,0.5891337006357668,0.8092322185586435,0.7971413015574023,0.0,0.0005
2,0,stage1_head_only,2,0.6642965055260285,0.789333451098157,0.7743920914954218,0.5303930898060565,0.8268370230805464,0.8129045700953539,0.0,0.0005
3,0,stage1_head_only,3,0.6036553138495544,0.8054230701289525,0.7936152295566601,0.5240867900233531,0.8263071125765427,0.8145260515028198,0.0,0.0005
4,1,stage2_partial_unfreeze,1,0.4800861195731814,0.8428575634457988,0.8346311402332982,0.4552485676332291,0.8504474799811588,0.8408037721978586,2e-06,0.0001
5,1,stage2_partial_unfreeze,2,0.4143456055966499,0.8631719955249367,0.8574919027299247,0.43676586383519395,0.8577484691474329,0.8464541075404827,2e-06,0.0001
6,1,stage2_partial_unfreeze,3,0.3563718518131137,0.8822498969557793,0.8778227161230213,0.4171015442810949,0.8654027319830428,0.8527095419030588,2e-06,0.0001
7,1,stage2_partial_unfreeze,4,0.3067244502223262,0.8988105752811635,0.8959192748191245,0.40718402947793575,0.8697008949599623,0.8570617629843762,2e-06,0.0001
8,2,stage3_full_unfreeze,1,0.26294695591098993,0.9126479420597068,0.9084349947637048,0.3977320364444353,0.875176636834668,0.8634139531554454,1e-06,5e-05
9,2,stage3_full_unfreeze,2,0.19034259909446855,0.9394394394394394,0.9393596346969817,0.3992381743898986,0.8765897315120112,0.8642326343110562,1e-06,5e-05
10,2,stage3_full_unfreeze,3,0.136790282815486,0.9592680916210328,0.959366026235196,0.41932871199975835,0.8750588789448893,0.8643647283804169,1e-06,5e-05
11,2,stage3_full_unfreeze,4,0.09311478929291998,0.9729582523700171,0.9732608720879656,0.43600080666113405,0.8742934526613283,0.8625549610798318,1e-06,5e-05
