Unnamed: 0,productid,imageid,descr_dup_block
0,3804725264,1263597046,False
1,436067568,1008141237,False
2,201115110,938777978,False
3,50418756,457047496,False
4,278535884,1077757786,False
5,5862738,393356830,False
6,91920807,907794536,False
7,344240059,999581347,False
8,4239126071,1325918866,False
9,3793572222,1245644185,False
10,1915836983,1111840281,False
11,4127967621,1295816984,False
12,3287127001,1204199842,False
13,1882164320,1109088140,False
14,4108914287,1292441752,False
15,3718150116,1237257586,False
16,3735707499,1239242410,False
17,2666371748,1156191369,False
18,91015572,857195931,False
19,570628142,1027257229,False
20,3936362802,1268740880,False
21,3228900895,1199384348,False
22,1893048509,1110089245,False
23,279822475,978593209,False
24,3748203527,1240721678,True
25,211334790,948608572,False
26,4137059841,1297749086,False
27,2536863974,1148154575,False
28,570663184,1027317460,False
29,3226779852,1202890774,False
30,4198487181,1313675704,False
31,49132716,874730792,False
32,3079667218,1195260111,False
33,3817904723,1248853903,False
34,4237073471,1324384878,False
35,4211197055,1317753478,False
36,3847254406,1264434293,False
37,4007155304,1275613423,False
38,4012748163,1276344493,False
39,3147314797,1225887302,False
40,4200874030,1316147329,False
41,1548294503,1092313319,False
42,824469524,1054895962,False
43,4006528698,1275678245,False
44,569725834,1027001857,False
45,2333136838,1136619798,False
46,444108636,1010065513,False
47,8870838,868167157,False
48,73334276,844838682,False
49,3748234383,1240783666,False
50,4232229083,1322918708,False
51,4086457567,1288958984,False
52,272891494,1006538318,False
53,207151480,941622055,False
54,3691441491,1234869213,False
55,3904025129,1262082265,False
56,476383013,1071868057,False
57,1810701779,1102910727,False
58,4128438373,1295960377,False
59,3893192098,1260268384,False
60,4186310238,1314541269,False
61,2255444083,1133554532,False
62,845432910,1102363799,False
63,3951008374,1268466271,False
64,1857269337,1105831362,False
65,2534214666,1190251480,False
66,46540267,332521213,False
67,4200117001,1313789346,False
68,1512728698,1148435669,False
69,289472891,984701340,False
70,3929890128,1265209491,False
71,1366398939,1076659035,False
72,1565732417,1090968564,False
73,2823144007,1166636908,False
74,1989328275,1118919143,False
75,258845359,979527054,False
76,4010224699,1276030225,False
77,684292602,1035262984,False
78,4182265443,1310653112,False
79,4010221940,1276001955,False
80,3885602739,1258507989,True
81,4122557333,1294197004,False
82,532980611,1227615603,False
83,4213435883,1317732300,False
84,1158987675,1065997226,False
85,969179882,1050686036,False
86,298737347,991347135,False
87,4182233005,1310308772,False
88,3249398687,1201827372,False
89,535993293,1023325242,False
90,2050109964,1123155510,False
91,3855161611,1253151856,False
92,4159399664,1303739592,False
93,4211078394,1316896303,False
94,2852954663,1168125620,False
95,4044463867,1280265865,False
96,4137157149,1297907405,False
97,4159071251,1303628870,False
98,3294453709,1204635212,False
99,3908951214,1262570063,False
100,4223031202,1321747763,False
101,190095382,933239989,False
102,435273724,1007734210,False
103,4004145763,1275336103,False
104,516394759,1019306612,False
105,4172827940,1307828300,False
106,4187799604,1312712907,False
107,190091299,933233675,False
108,4150114277,1301011932,False
109,871281071,1046068518,False
110,388467753,1003036081,False
111,2537777042,1148188616,False
112,49747548,855718390,False
113,3564368264,1221500392,False
114,4173008727,1307881449,False
115,4293237,226693630,False
116,3494065274,1217414851,False
117,81245478,849770658,False
118,3775275367,1243659384,False
119,3873228357,1256092774,False
120,3493552571,1217330555,False
121,4077173787,1287255019,False
122,223805274,957104790,False
123,4214101388,1319250947,False
124,256504653,1318433614,False
125,3893243612,1260347142,False
126,2160576205,1129283127,False
127,4983688,287686036,False
128,294403626,987567622,False
129,1859462393,1105980910,False
130,3921350051,1263770707,False
131,1807806498,1204663650,False
132,4170895440,1307498914,False
133,3255495124,1202500058,False
134,2406558169,1140310144,False
135,4006540302,1275716747,False
136,1932975409,1114982518,False
137,435016460,1007523858,False
138,1191766690,1068285873,False
139,2984373231,1178310262,False
140,3879890848,1257233352,False
141,2142477536,1128331298,False
142,353771623,1000493207,False
143,2932591602,1173879377,False
144,1350498866,1075612752,False
145,4101891756,1291328527,False
146,4187115528,1311396789,False
147,4214664230,1319679480,False
148,1711734999,1100084859,False
149,4164667711,1305110233,False
150,278528834,977732598,False
151,4193585163,1312146356,False
152,207257883,941678744,False
153,158007233,913623620,False
154,4180534759,1309774406,False
155,522627969,1020456966,False
156,1547138559,1089053867,False
157,4229642138,1322037360,False
158,1190507078,1068211845,False
159,3967114281,1270347057,False
160,3944198188,1268908692,False
161,190730270,933576412,False
162,2091257012,1125330542,False
163,2792163142,1172463223,False
164,278517003,1127692645,False
165,2476577455,1144198526,False
166,205828886,941166404,False
167,2940638631,1174586175,False
168,2230071933,1132633996,False
169,569548950,1026795100,False
170,4197497931,1313241065,False
171,4201306796,1314017000,False
172,3868342085,1255146552,False
173,89332692,856259337,False
174,1352145663,1075760814,False
175,4234288409,1323885488,False
176,2685362450,1166818974,False
177,3992742695,1273512063,False
178,1352146059,1075760101,False
179,117625001,872533293,False
180,4200877294,1316199211,False
