Unnamed: 0,productid,imageid,description_clean_length_tokens,description_dedup_length_tokens,removed_words,removed_chars
61512,4023550194,1277618412,2211,626,1585,8622
64087,4057635218,1282540131,1494,370,1124,6568
79814,3883412829,1257934991,1679,520,1159,6262
65613,4197543186,1313646780,1562,358,1204,6196
14596,3856810014,1253467185,1494,437,1057,5894
80661,4050860415,1281450969,1597,586,1011,5789
47398,4053879512,1282015512,1597,586,1011,5789
25474,3868888014,1255182649,1714,652,1062,5496
64317,4006510427,1275646331,1793,825,968,5372
76541,4187120562,1311422387,1052,138,914,5352
84021,4184608532,1310877211,1678,678,1000,5263
72373,4042483218,1280115165,1243,317,926,5068
15004,4250687025,1328489060,1164,288,876,4924
68800,3789608245,1245223764,1346,550,796,4896
46919,4235890035,1324042482,1371,464,907,4849
17506,4235890033,1324042457,1371,464,907,4849
69017,4150481094,1301089999,1315,464,851,4841
8316,4197679675,1313461882,1160,356,804,4615
11491,3960068238,1269616716,1347,489,858,4582
20932,4187125454,1311445278,1393,564,829,4577
44087,4006528807,1275679992,1040,289,751,4569
37691,4179859531,1309221907,1028,289,739,4481
12085,4187125541,1311446278,1508,755,753,4466
53768,3941809214,1267122692,1391,631,760,4264
54474,4177840941,1308745165,1575,761,814,4241
64982,4177840942,1308745193,1575,761,814,4241
45803,4079436635,1287837358,1016,314,702,4200
74538,4037931062,1279439916,1135,343,792,4192
22555,4130471799,1296379713,1087,333,754,4170
31978,4017685901,1285878165,1244,484,760,4168
31339,4155423932,1302544942,1072,348,724,4110
45797,4120408231,1293746301,1067,331,736,4074
46067,4120379939,1293733178,1067,331,736,4074
29523,4202301926,1314388373,1260,526,734,3990
23496,4079436923,1287842560,990,314,676,3972
78337,3856809985,1253465565,1145,437,708,3946
84682,4172336631,1307691025,1005,303,702,3804
47826,3953945371,1268859446,995,329,666,3796
60923,4202304579,1314547163,1325,653,672,3767
33106,3997813655,1274151851,958,322,636,3748
76875,4077156198,1287120345,951,321,630,3724
20007,3923099207,1264024084,990,391,599,3684
54785,3930103834,1265380719,979,345,634,3670
56879,4108901637,1292773304,1210,570,640,3667
36845,3856253425,1253380435,1058,406,652,3664
26152,3969254858,1270201634,963,321,642,3664
15353,4188951725,1311776052,956,320,636,3646
7401,4213417602,1317485246,1272,592,680,3604
83668,3959399977,1269492378,1270,590,680,3604
76297,3959401405,1269499087,1271,591,680,3604
67359,3868449462,1255547662,1270,590,680,3604
54799,4086148510,1289635258,1270,590,680,3604
64438,4213443477,1317765022,1270,590,680,3604
36663,4086138392,1289548797,1272,592,680,3604
23491,4086146652,1289627394,1271,591,680,3604
21472,3868448876,1255543112,1271,591,680,3604
62317,3883244002,1257888968,1272,592,680,3589
66728,3989841198,1272688585,1010,384,626,3561
19801,3895288838,1260718863,1200,558,642,3528
17580,3895286451,1260715124,1201,559,642,3528
54665,3895280939,1260707674,1200,558,642,3528
48826,3979566346,1271703221,907,319,588,3494
17905,3971723303,1270484713,1179,526,653,3446
57160,3951727598,1268596331,1576,969,607,3426
2572,3563517745,1221439185,1273,585,688,3422
15973,4188950625,1311759909,904,322,582,3416
70414,4188997955,1311958297,891,315,576,3416
61953,4197668975,1313374128,983,398,585,3403
42643,4086009025,1288867945,900,302,598,3398
79913,4086153466,1289700231,890,320,570,3374
275,4202303891,1314512168,1153,618,535,3356
33533,4181946207,1309986912,1013,412,601,3323
33831,4177822431,1308737692,980,332,648,3314
39035,3541022137,1220224127,1257,654,603,3313
27695,3997825003,1274259794,1061,449,612,3296
57733,4216252251,1318671497,1006,458,548,3239
18797,4086150259,1289658608,1263,629,634,3229
15579,4197656412,1313179470,985,378,607,3213
8040,3977397455,1271453081,1410,868,542,3163
13436,4195559103,1312680263,1264,780,484,3144
48033,4041458222,1279767651,867,345,522,3130
14552,4057555231,1282584584,881,349,532,3125
46508,3908165724,1262476644,1070,484,586,3112
55474,4071435529,1285914059,1054,511,543,3107
80139,4181899244,1310332113,1040,484,556,3104
41485,4181900391,1310350390,1033,482,551,3089
9949,4058568616,1282727718,1086,564,522,3074
38605,3607250054,1227159249,807,301,506,3052
63279,4041458010,1279766678,1043,483,560,3034
43975,3879892982,1257253017,1077,562,515,3008
7133,4153244461,1302134691,808,312,496,3008
34647,3846826064,1252064574,1408,838,570,3006
39692,4181950727,1310037863,1308,860,448,3005
83104,4233775306,1324160976,1256,546,710,3004
17738,4017676633,1285858158,852,320,532,2994
782,4114275622,1292873986,1002,484,518,2957
4729,3945013603,1267994264,837,317,520,2934
82547,4202305310,1314580083,1077,539,538,2919
19137,3907803340,1262419702,860,330,530,2908
13412,4193922690,1312263390,726,172,554,2890
5333,3971717962,1270445350,750,290,460,2888
4988,3858368100,1253683419,1170,704,466,2859
24136,3881725411,1257709611,798,389,409,2845
82116,4155420641,1302527106,798,389,409,2845
14371,4155420647,1302527182,798,389,409,2845
49954,3836828985,1250924880,834,342,492,2839
47121,3893198039,1260350656,1014,532,482,2820
15541,3549075714,1220576539,1169,694,475,2791
21427,3971722993,1270481681,790,316,474,2774
24310,4139341217,1298566022,1143,653,490,2702
71250,4044743801,1280390884,1109,644,465,2645
44667,4092909712,1290307697,1472,948,524,2636
